video_id,face_present,num_faces,face_size_ratios,width,height,resolution,aspect_ratio,brightness,contrast,saturation,hue,estimated_gamma,sharpness
qtuPuBXAkxs.jpg,0,0,[0],480,360,172800,1.33,6.12,12.71,19.21,18.54,5.64,210.64
Y7fZ817Nkz4.jpg,1,1,[0.0352],1280,720,921600,1.78,46.75,36.91,76.79,30.72,39.8,46.26
j3EXDMnQkXA.jpg,0,0,[0],1280,720,921600,1.78,232.74,54.81,55.45,166.59,209.15,45.48
DpgdAKMUOAI.jpg,0,0,[0],1280,720,921600,1.78,6.16,28.33,0.0,0.0,6.16,205.69
-p_qjSLPEOA.jpg,1,2,"[0.0244, 0.012]",1280,720,921600,1.78,110.09,81.12,47.74,46.94,99.72,130.65
ZUrt1AH9AIg.jpg,0,0,[0],480,360,172800,1.33,85.4,65.85,98.32,53.9,70.08,743.15
swXdIE4NkYw.jpg,0,0,[0],1280,720,921600,1.78,237.42,20.15,3.29,20.93,236.22,205.06
jrTqiBN66Yw.jpg,0,0,[0],1280,720,921600,1.78,56.22,34.41,77.14,118.39,47.44,211.32
u-MaN8crd5c.jpg,0,0,[0],1280,720,921600,1.78,195.26,93.79,1.03,8.77,195.16,4908.61
7DBi9xWPbCI.jpg,0,0,[0],1280,720,921600,1.78,60.66,64.57,37.23,65.78,56.12,211.53
Y6EX84RwQ-0.jpg,0,0,[0],1280,720,921600,1.78,42.7,36.48,0.35,0.26,42.67,185.07
qmJitfThItk.jpg,0,0,[0],1280,720,921600,1.78,125.77,48.42,35.63,112.93,117.75,18.7
tVfyVfmDTfo.jpg,1,1,[0.017],1280,720,921600,1.78,97.84,69.16,72.72,70.95,87.3,173.93
kUAqdcywa_w.jpg,0,0,[0],1280,720,921600,1.78,150.88,62.92,44.88,93.82,139.96,51.13
6HjSHN1dh-I.jpg,1,1,[0.0246],1280,720,921600,1.78,69.37,64.32,135.85,55.68,51.13,175.41
_yI2UscjY3c.jpg,0,0,[0],1280,720,921600,1.78,59.02,39.39,122.28,88.14,47.63,189.6
aavtJ0TNKUM.jpg,0,0,[0],1280,720,921600,1.78,87.23,47.83,130.19,128.07,62.16,179.65
6SWHOruc4Is.jpg,1,1,[0.017],1280,720,921600,1.78,17.03,37.18,28.15,19.41,14.19,346.26
tlsyNHeDFRo.jpg,0,0,[0],1280,720,921600,1.78,88.65,45.68,84.57,33.84,76.25,6.13
B9uz_DoNUUA.jpg,0,0,[0],1280,720,921600,1.78,68.31,44.06,205.43,98.81,39.26,186.44
-XEteUlLe1Y.jpg,1,1,[0.012],1280,720,921600,1.78,94.03,46.51,70.79,126.53,84.61,85.73
SO-M3J1H0pQ.jpg,0,0,[0],1280,720,921600,1.78,102.28,46.24,63.75,114.91,93.08,953.51
SaCyN7p3DNs.jpg,0,0,[0],1280,720,921600,1.78,201.71,53.56,51.16,103.33,184.43,203.98
el029Jx_aCE.jpg,0,0,[0],1280,720,921600,1.78,52.35,41.14,124.53,68.76,40.59,65.96
BDRS_-VQlWY.jpg,0,0,[0],1280,720,921600,1.78,88.11,64.92,112.78,55.3,70.31,102.9
iKQiyD1DmfU.jpg,0,0,[0],1280,720,921600,1.78,184.06,56.47,25.83,92.83,175.41,90.94
o5yGlF-YYWw.jpg,0,0,[0],1280,720,921600,1.78,82.92,51.06,247.71,115.63,41.54,89.39
Imz7dulI0Zg.jpg,0,0,[0],1280,720,921600,1.78,26.14,40.83,60.59,60.24,21.83,262.6
_lFNpD1ltiI.jpg,1,1,[0.0352],1280,720,921600,1.78,93.89,60.09,128.78,38.51,71.95,82.26
SsAHwi0aUoo.jpg,0,0,[0],1280,720,921600,1.78,13.11,29.73,34.21,27.98,12.14,848.42
flzL7pk94nc.jpg,0,0,[0],1280,720,921600,1.78,14.0,20.11,70.27,61.31,11.45,41.04
TI7ojB00uMU.jpg,1,1,[0.1049],1280,720,921600,1.78,122.61,35.51,49.15,20.54,110.14,78.07
WInhysFBHqQ.jpg,0,0,[0],1280,720,921600,1.78,113.75,65.36,49.21,61.83,104.61,15.94
_fk1q0v-gWk.jpg,1,1,[0.0171],1280,720,921600,1.78,57.31,42.75,109.74,45.9,45.98,159.39
D4FSGoqkXJU.jpg,0,0,[0],1280,720,921600,1.78,199.78,67.4,98.52,101.81,166.25,697.43
MPM2mOykHqY.jpg,1,1,[0.0246],1280,720,921600,1.78,78.05,53.35,37.0,35.06,71.88,31.15
T5JqxR_cPaw.jpg,0,0,[0],1280,720,921600,1.78,198.63,54.32,112.28,25.8,149.46,113.41
tOcJIuR6s2c.jpg,0,0,[0],1280,720,921600,1.78,22.97,25.4,0.47,3.06,22.94,244.15
VNa_f3PCvyU.jpg,0,0,[0],1280,720,921600,1.78,199.53,76.94,77.91,80.8,160.66,479.22
a2XtnUHd1f4.jpg,0,0,[0],1280,720,921600,1.78,108.95,89.39,0.0,0.0,108.95,1400.83
Osrse1OXeqU.jpg,1,1,[0.0728],1280,720,921600,1.78,80.78,47.19,80.44,36.25,69.15,34.47
2EwXoOFXszE.jpg,0,0,[0],480,360,172800,1.33,17.72,41.42,0.2,0.32,17.71,1181.86
kH-aZyqNHc0.jpg,0,0,[0],1280,720,921600,1.78,107.06,69.89,82.26,97.83,90.45,182.49
xJvZwzsefCU.jpg,0,0,[0],1280,720,921600,1.78,200.03,67.26,98.42,101.81,166.47,677.47
hfTUQZ4D0s4.jpg,0,0,[0],1280,720,921600,1.78,82.92,51.06,247.71,115.63,41.54,89.39
XkJomXQb5Io.jpg,0,0,[0],1280,720,921600,1.78,66.19,44.19,100.04,22.87,55.44,157.5
inSKuLzM0Ik.jpg,0,0,[0],1280,720,921600,1.78,178.51,39.64,29.66,94.04,171.73,100.12
Lehv58xdGUQ.jpg,0,0,[0],1280,720,921600,1.78,224.75,64.75,73.61,116.11,191.49,299.21
Qtneja6IYmc.jpg,0,0,[0],480,360,172800,1.33,70.18,56.84,59.01,34.48,61.07,369.31
oAA5HA6LEFU.jpg,0,0,[0],1280,720,921600,1.78,185.39,55.53,30.68,32.57,176.83,183.15
54CTzbhQY4E.jpg,0,0,[0],1280,720,921600,1.78,89.02,67.77,86.72,97.99,76.11,153.04
n6A_3K3YL4Q.jpg,0,0,[0],1280,720,921600,1.78,224.0,62.9,37.97,95.26,212.06,113.39
N8E4BC6mFZg.jpg,0,0,[0],1280,720,921600,1.78,17.29,39.84,13.53,31.45,16.77,141.02
Roy4_xsfYio.jpg,1,1,[0.1043],1280,720,921600,1.78,81.69,43.03,127.71,96.88,57.36,104.42
E4gduoAR1gI.jpg,0,0,[0],1280,720,921600,1.78,138.79,63.69,59.9,55.07,122.36,1229.28
OIhlSl7Gcmg.jpg,0,0,[0],1280,720,921600,1.78,81.5,54.79,25.65,87.25,78.62,47.16
BOSo4lB3LrI.jpg,0,0,[0],1280,720,921600,1.78,109.54,72.11,83.63,104.72,95.59,618.77
GTdHN5RwkLs.jpg,1,1,[0.0308],480,360,172800,1.33,141.86,93.1,39.16,61.53,132.63,1067.53
IYHlVFbKNh4.jpg,0,0,[0],1280,720,921600,1.78,81.83,44.32,130.73,125.55,57.39,114.58
anVmgeMlhDk.jpg,0,0,[0],1280,720,921600,1.78,209.86,61.06,72.63,72.45,183.09,851.68
TCDV7YJ-0DQ.jpg,0,0,[0],480,360,172800,1.33,107.36,75.64,133.48,68.82,71.76,820.93
P6kpbp2zlUQ.jpg,0,0,[0],1280,720,921600,1.78,113.97,87.12,57.08,58.23,105.47,291.39
e-W5ApPqUw4.jpg,1,1,[0.0083],1280,720,921600,1.78,102.01,51.89,82.33,72.03,85.2,468.55
ZbbgDk2RjbU.jpg,0,0,[0],1280,720,921600,1.78,161.64,94.9,89.06,76.97,145.01,175.63
iQItVlzN0nA.jpg,0,0,[0],1280,720,921600,1.78,30.83,53.7,0.21,0.42,30.82,1997.75
Z-xyrjZJvzY.jpg,1,1,[0.0354],1280,720,921600,1.78,154.79,60.79,67.77,34.37,137.65,182.61
jrhk_h-yr_E.jpg,0,0,[0],1280,720,921600,1.78,90.55,53.63,29.16,45.46,85.01,109.11
bKczfeM3g1g.jpg,0,0,[0],1280,720,921600,1.78,205.5,45.77,123.91,137.52,158.77,73.7
HZ1HcU_MNpg.jpg,1,2,"[0.017, 0.0118]",1280,720,921600,1.78,166.89,63.97,127.81,68.62,124.09,169.85
4CqhsHEgP9o.jpg,0,0,[0],1280,720,921600,1.78,151.69,44.01,38.67,55.16,138.66,1824.16
EvwxD1PcXZ4.jpg,1,1,[0.2163],1280,720,921600,1.78,62.68,37.35,119.27,79.66,48.68,15.51
T-IcvQ8GvYk.jpg,0,0,[0],1280,720,921600,1.78,162.26,57.52,77.79,105.84,134.98,179.52
WHG-pN3Xv1Y.jpg,0,0,[0],1280,720,921600,1.78,16.2,45.41,21.42,23.99,15.54,1255.52
DtCzsB-LQ5g.jpg,0,0,[0],1280,720,921600,1.78,204.95,68.12,181.21,162.34,126.19,93.63
X62C4rTXiWM.jpg,1,1,[0.1049],1280,720,921600,1.78,133.32,52.65,62.65,40.98,117.05,53.54
EECYeirdn1U.jpg,1,1,[0.017],1280,720,921600,1.78,100.63,69.27,175.23,134.83,78.97,1636.62
AXIAHzRxxDs.jpg,0,0,[0],1280,720,921600,1.78,223.73,77.98,82.65,49.37,185.73,214.71
6SI4nHRzSCc.jpg,1,1,[0.1046],1280,720,921600,1.78,88.9,44.87,94.02,86.46,71.05,7.36
txpltyYtLic.jpg,0,0,[0],1280,720,921600,1.78,205.13,61.58,22.35,94.76,197.75,141.93
Km8R7rFG-tM.jpg,0,0,[0],1280,720,921600,1.78,23.52,39.69,104.18,60.04,15.89,345.92
OfEK9XpNwrE.jpg,0,0,[0],1280,720,921600,1.78,186.32,69.68,31.4,47.09,177.73,480.17
yoe0YYj0PyM.jpg,0,0,[0],1280,720,921600,1.78,108.13,68.45,147.15,151.75,81.81,266.79
pqq2LMjmwGE.jpg,1,1,[0.0506],1280,720,921600,1.78,85.77,46.43,179.16,142.3,47.14,462.28
7Xx3atjWvTM.jpg,1,1,[0.0506],1280,720,921600,1.78,79.54,54.87,101.59,88.62,58.62,750.46
VnYrhAZvUuY.jpg,1,1,[0.1046],1280,720,921600,1.78,110.04,54.14,77.66,54.93,93.03,64.02
_T6OP0eB8V4.jpg,0,0,[0],1280,720,921600,1.78,73.06,62.07,108.23,64.11,63.01,56.86
ZEhbbO09PUY.jpg,0,0,[0],1280,720,921600,1.78,36.37,63.63,23.83,11.32,34.14,1154.75
2OWtpZ-Bnvc.jpg,1,1,[0.0083],1280,720,921600,1.78,44.52,52.25,51.33,26.75,36.78,603.45
8X8k2HQtH3E.jpg,0,0,[0],1280,720,921600,1.78,176.2,59.41,127.24,131.96,130.87,398.14
yv66OReetd4.jpg,0,0,[0],1280,720,921600,1.78,49.22,24.87,96.82,90.14,40.33,70.64
fNzmwnRGHP0.jpg,0,0,[0],480,360,172800,1.33,134.33,109.72,79.77,44.17,115.67,1155.1
73OT-fC0YhI.jpg,0,0,[0],1280,720,921600,1.78,62.06,43.79,130.32,78.68,42.68,130.89
50oi7GEYSO8.jpg,1,1,[0.0354],1280,720,921600,1.78,144.84,73.96,74.26,29.54,128.45,167.69
VkN91RBfB-8.jpg,0,0,[0],1280,720,921600,1.78,46.92,57.71,46.13,74.19,44.1,155.01
r_NWxxNPoF8.jpg,0,0,[0],1280,720,921600,1.78,85.34,52.25,163.63,17.13,54.98,194.56
ZOAtZUnD718.jpg,1,2,"[0.0118, 0.0244]",1280,720,921600,1.78,109.61,73.12,65.67,81.94,97.42,170.14
nVVJmiBMETw.jpg,0,0,[0],480,360,172800,1.33,151.83,85.49,134.78,129.6,103.21,611.75
7KW7LG5PK9U.jpg,0,0,[0],1280,720,921600,1.78,96.53,59.52,187.9,145.75,68.43,534.4
czIXyP4Cke0.jpg,1,1,[0.0506],1280,720,921600,1.78,71.2,48.25,122.15,87.73,51.65,26.21
2RC0OsX2td4.jpg,0,0,[0],1280,720,921600,1.78,64.48,50.82,125.35,119.29,46.14,164.6
caN_e8f4FGs.jpg,0,0,[0],1280,720,921600,1.78,212.73,52.87,25.54,141.22,204.18,58.63
8HR7L7FY9bw.jpg,1,1,[0.0244],1280,720,921600,1.78,150.33,67.99,101.78,30.5,125.48,681.41
-RFea_mE99U.jpg,0,0,[0],1280,720,921600,1.78,103.45,66.33,58.65,92.51,92.82,101.12
Bl9ZR1d7dsc.jpg,0,0,[0],1280,720,921600,1.78,192.51,67.02,131.83,117.02,149.02,64.97
wU-m98byK9o.jpg,0,0,[0],1280,720,921600,1.78,67.01,71.44,20.21,61.58,62.9,71.98
mk8JpfbhAgI.jpg,1,1,[0.1046],1280,720,921600,1.78,191.54,73.63,43.53,76.57,179.19,403.73
h68rjMS8JMo.jpg,0,0,[0],1280,720,921600,1.78,114.84,63.95,213.01,166.19,66.83,32.88
TCX6b0-voKw.jpg,0,0,[0],1280,720,921600,1.78,70.03,55.61,43.6,76.46,65.61,179.51
wqp8i7oGg1g.jpg,1,1,[0.0058],1280,720,921600,1.78,38.58,42.08,85.23,76.16,31.36,411.22
mJwGiaOeo2I.jpg,0,0,[0],1280,720,921600,1.78,49.34,42.2,165.23,81.03,32.85,446.29
UHGV0kHBovU.jpg,1,1,[0.1676],1280,720,921600,1.78,114.92,55.25,84.28,48.45,98.77,75.68
HDZrWzI4Ljg.jpg,0,0,[0],1280,720,921600,1.78,97.74,65.72,93.06,16.7,81.74,137.66
7GPXkUVQ4J0.jpg,0,0,[0],1280,720,921600,1.78,162.06,66.45,77.33,40.85,142.56,220.05
u29rkSkb0Qs.jpg,0,0,[0],1280,720,921600,1.78,26.6,45.79,1.38,6.31,26.53,895.85
SXR9E4_0zC8.jpg,0,0,[0],1280,720,921600,1.78,108.17,89.51,0.0,0.0,108.17,1675.2
M3r0x2eU_B8.jpg,1,2,"[0.1043, 0.0728]",1280,720,921600,1.78,113.07,53.65,87.99,61.77,92.01,106.55
3xKKkkmOrRc.jpg,0,0,[0],1280,720,921600,1.78,91.99,60.96,179.91,87.83,69.99,78.78
oU91FBSaw6c.jpg,0,0,[0],1280,720,921600,1.78,56.96,55.66,98.72,58.15,47.97,200.1
dFq1VkU6cd4.jpg,0,0,[0],1280,720,921600,1.78,144.54,65.08,186.17,90.1,108.04,100.21
lhsmcCJlM4w.jpg,0,0,[0],1280,720,921600,1.78,23.0,26.67,50.19,72.42,20.27,107.93
x3tDkZZ2QqI.jpg,0,0,[0],480,360,172800,1.33,131.65,83.93,69.6,42.32,114.9,5797.19
7kw9sx67szw.jpg,0,0,[0],1280,720,921600,1.78,249.07,30.8,4.3,16.49,247.47,633.34
UTxgLhm20BI.jpg,1,1,[0.1302],480,360,172800,1.33,102.82,71.8,47.61,48.69,93.5,791.78
4N1plRuv3Gc.jpg,1,1,[0.017],1280,720,921600,1.78,64.49,39.37,130.38,104.08,46.35,49.64
0jj_YQ0N1dc.jpg,0,0,[0],1280,720,921600,1.78,192.74,70.19,110.94,82.79,163.68,431.02
_kL9UZDS2zM.jpg,1,5,"[0.0084, 0.0058, 0.0083, 0.0118, 0.0118]",1280,720,921600,1.78,54.76,31.89,121.65,139.55,46.27,66.5
e7t7Q2P5nWo.jpg,1,1,[0.0728],1280,720,921600,1.78,112.18,49.62,43.63,45.91,104.81,175.26
lViqLJtoAHs.jpg,1,1,[0.0506],1280,720,921600,1.78,101.96,49.53,61.21,72.15,89.92,218.84
OldzjDor0_U.jpg,1,2,"[0.0246, 0.0058]",1280,720,921600,1.78,67.05,72.52,0.0,0.0,67.05,354.3
DxbqeiYwN_Q.jpg,0,0,[0],1280,720,921600,1.78,84.95,60.01,78.65,25.32,70.78,126.92
La-3sMmFizI.jpg,1,1,[0.0118],1280,720,921600,1.78,69.82,45.05,127.89,53.94,45.54,41.07
H0995PrH5W8.jpg,1,1,[0.0058],1280,720,921600,1.78,35.38,65.12,23.97,11.34,33.15,1292.4
lrIHl8ouzyI.jpg,0,0,[0],1280,720,921600,1.78,127.56,80.88,136.05,21.03,97.45,1315.11
P3KtGTcIoPw.jpg,0,0,[0],480,360,172800,1.33,108.15,73.7,51.41,37.92,99.02,1781.42
SMnRWyFWxkc.jpg,0,0,[0],1280,720,921600,1.78,175.08,82.78,32.52,50.28,162.58,421.84
8dREba4kbvs.jpg,0,0,[0],1280,720,921600,1.78,66.45,47.53,88.71,28.6,58.32,564.68
4IJ2pV6j2aI.jpg,0,0,[0],1280,720,921600,1.78,183.75,57.34,14.18,86.59,177.98,23.78
gJWZH91bbnM.jpg,0,0,[0],1280,720,921600,1.78,69.62,49.25,120.71,99.53,55.39,169.36
wN-3_fgnE2E.jpg,1,1,[0.0244],1280,720,921600,1.78,184.68,49.15,73.06,115.62,155.11,59.94
k59JH3Ftz1E.jpg,0,0,[0],1280,720,921600,1.78,124.56,96.89,66.99,17.86,113.74,328.06
N4JIm8eSdpQ.jpg,0,0,[0],1280,720,921600,1.78,66.96,37.87,213.74,117.64,33.8,34.45
7CaM7-gHTo4.jpg,0,0,[0],1280,720,921600,1.78,117.85,77.5,159.89,81.44,88.04,336.79
dvY921lzbiU.jpg,1,1,[0.0728],1280,720,921600,1.78,157.67,76.2,44.02,35.47,147.54,30.65
cJgIYpCKt88.jpg,0,0,[0],1280,720,921600,1.78,1.95,15.8,0.0,0.0,1.95,156.1
vdeTeGheeTM.jpg,0,0,[0],1280,720,921600,1.78,32.87,22.96,116.25,74.75,26.08,6.19
8zf-4spL3j8.jpg,0,0,[0],1280,720,921600,1.78,66.38,60.09,23.1,72.64,63.89,86.25
upL0seoy_9I.jpg,0,0,[0],1280,720,921600,1.78,144.38,78.02,100.99,98.3,129.78,205.9
75mifasICns.jpg,1,1,[0.0244],1280,720,921600,1.78,100.2,73.81,148.66,46.28,82.78,85.35
NeHP7lBJIp0.jpg,0,0,[0],1280,720,921600,1.78,222.29,55.95,55.27,21.96,190.84,484.46
EP2CeGhiKvU.jpg,1,1,[0.0244],1280,720,921600,1.78,46.11,50.54,80.23,88.94,38.79,110.0
1NGPn2Be2ww.jpg,1,1,[0.012],1280,720,921600,1.78,63.27,61.98,84.35,74.42,49.22,851.0
ohYAinKHGMo.jpg,0,0,[0],1280,720,921600,1.78,96.0,86.71,51.28,59.1,91.64,822.22
gq29wEazZ9M.jpg,1,1,[0.0728],1280,720,921600,1.78,66.26,44.91,97.88,87.53,52.1,13.88
3Q5Ev6WmGZg.jpg,1,1,[0.0911],480,360,172800,1.33,85.28,54.15,70.61,60.52,72.38,147.43
wfQGpAGtISc.jpg,1,1,[0.0728],1280,720,921600,1.78,128.89,47.39,73.43,41.52,112.91,18.66
5EI3f6t9FXA.jpg,0,0,[0],480,360,172800,1.33,126.56,81.34,79.93,91.96,101.17,920.31
ODNl5MAX0sI.jpg,1,1,[0.0352],1280,720,921600,1.78,68.75,41.09,94.42,69.55,56.84,46.03
56RxLg8BojE.jpg,1,1,[0.0506],1280,720,921600,1.78,55.68,41.71,87.36,97.05,44.8,56.16
LmkGBmJs2BM.jpg,0,0,[0],1280,720,921600,1.78,83.37,61.96,48.49,41.21,77.79,233.18
SgTEmHT2BCI.jpg,0,0,[0],1280,720,921600,1.78,141.17,51.59,75.24,32.45,116.31,345.95
BZiAiHGF3zY.jpg,0,0,[0],1280,720,921600,1.78,133.3,63.58,135.7,105.89,98.15,410.06
ftgFlNh1Vq0.jpg,0,0,[0],1280,720,921600,1.78,91.74,65.32,103.28,164.52,75.89,99.53
NmvZUqisjE4.jpg,1,1,[0.0171],1280,720,921600,1.78,90.28,48.28,57.61,55.22,81.02,30.21
8llu1Y7eExQ.jpg,1,1,[0.0506],1280,720,921600,1.78,41.78,30.87,57.81,38.86,36.87,20.48
7GLHVt4JMME.jpg,0,0,[0],1280,720,921600,1.78,163.42,38.42,76.06,91.46,144.58,175.22
lis0OlvaB8U.jpg,1,1,[0.0506],1280,720,921600,1.78,116.14,59.02,68.38,85.3,103.83,237.62
OL8Nwy7h-Lo.jpg,1,1,[0.2168],1280,720,921600,1.78,128.85,71.91,121.59,16.82,101.52,146.18
GR3y-Klaq-8.jpg,0,0,[0],1280,720,921600,1.78,41.02,46.19,207.47,146.97,31.72,184.65
